id_materia,id_carrera,nombre
3000,41,CURSO DE INDUCCION
81,41,ALGEBRA BASICA
82,41,PRE-CALCULO
83,41,INTRODUCCION A LA FISICA
84,41,INTRODUCCION A LA QUIMICA
4500,42,CURSO DE INDUCCION
81,42,ALGEBRA BASICA
82,42,PRE-CALCULO
83,42,INTRODUCCION A LA FISICA
84,42,INTRODUCCION A LA QUIMICA
5003,43,CURSO DE INDUCCION
81,43,ALGEBRA BASICA
82,43,PRE-CALCULO
83,43,INTRODUCCION A LA FISICA
84,43,INTRODUCCION A LA QUIMICA
7000,44,CURSO DE INDUCCION
81,44,ALGEBRA BASICA
82,44,PRE-CALCULO
83,44,INTRODUCCION A LA FISICA
84,44,INTRODUCCION A LA QUIMICA
5002,45,CURSO DE INDUCCION
81,45,ALGEBRA BASICA
82,45,PRE-CALCULO
83,45,INTRODUCCION A LA FISICA
84,45,INTRODUCCION A LA QUIMICA
5001,46,CURSO DE INDUCCION
81,46,ALGEBRA BASICA
82,46,PRE-CALCULO
83,46,INTRODUCCION A LA FISICA
84,46,INTRODUCCION A LA QUIMICA
2003,47,CURSO DE INDUCCION
81,47,ALGEBRA BASICA
82,47,PRE-CALCULO
83,47,INTRODUCCION A LA FISICA
84,47,INTRODUCCION A LA QUIMICA
6000,48,CURSO DE INDUCCION
81,48,ALGEBRA BASICA
82,48,PRE-CALCULO
83,48,INTRODUCCION A LA FISICA
84,48,INTRODUCCION A LA QUIMICA
4300,49,CURSO DE INDUCCION
81,49,ALGEBRA BASICA
82,49,PRE-CALCULO
83,49,INTRODUCCION A LA FISICA
84,49,INTRODUCCION A LA QUIMICA
5005,50,CURSO DE INDUCCION
81,50,ALGEBRA BASICA
82,50,PRE-CALCULO
83,50,INTRODUCCION A LA FISICA
84,50,INTRODUCCION A LA QUIMICA
5004,51,CURSO DE INDUCCION
81,51,ALGEBRA BASICA
82,51,PRE-CALCULO
83,51,INTRODUCCION A LA FISICA
84,51,INTRODUCCION A LA QUIMICA
3002,52,CURSO DE INDUCCION
81,52,ALGEBRA BASICA
82,52,PRE-CALCULO
83,52,INTRODUCCION A LA FISICA
84,52,INTRODUCCION A LA QUIMICA
3870,53,CURSO DE INDUCCION
81,53,ALGEBRA BASICA
82,53,PRE-CALCULO
83,53,INTRODUCCION A LA FISICA
84,53,INTRODUCCION A LA QUIMICA
2004,54,CURSO DE INDUCCION
81,54,ALGEBRA BASICA
82,54,PRE-CALCULO
83,54,INTRODUCCION A LA FISICA
84,54,INTRODUCCION A LA QUIMICA
3390,63,SEMINARIO DE ORIENTACION ING. CIVIL
3119,63,HERRAMIENTAS DE COMPUTO I
3130,63,GEOLOGIA APLICADA A LA ING. CIVIL
3191,63,SEMINARIO Y VISITAS DE OBRA I
0,63,GEOMETRIA Y TRIGONOMETRIA
41,63,ALGEBRA A
51,63,CALCULO A
61,63,FISICA A
1005,63,METODOLOGIA DE LA INVESTIGACION
1120,63,GEOMETRIA DESCRIPTIVA
611,63,FISICA A
4000,64,SEMINARIO DE ORIENTACION
4575,64,GEOLOGIA BASICA I
4588,64,CRISTALOGRAFIA
45881,64,CRISTALOGRAFIA
4590,64,COMPUTACION APLICADA A
45901,64,COMPUTACION APLICADA A
0,64,GEOMETRIA Y TRIGONOMETRIA
41,64,ALGEBRA A
71,64,QUIMICA A
1005,64,METODOLOGIA DE LA INVESTIGACION
1006,64,TECNICAS DE COMUNICACION ORAL Y ESCRITA
711,64,QUIMICA A
5919,65,SEMINARIO DE ORIENTACION IME
5937,65,EXPERIMENTACION MECANICA ELECTRICA
0,65,GEOMETRIA Y TRIGONOMETRIA
41,65,ALGEBRA A
51,65,CALCULO A
61,65,FISICA A
71,65,QUIMICA A
1015,65,LIDERAZGO
1016,65,EMPRENDIMIENTO
1120,65,GEOMETRIA DESCRIPTIVA
611,65,FISICA A
711,65,QUIMICA A
7070,67,SEMINARIO DE ORIENTACION
0,67,GEOMETRIA Y TRIGONOMETRIA
41,67,ALGEBRA A
51,67,CALCULO A
61,67,FISICA A
71,67,QUIMICA A
1100,67,TECNICAS DEL APRENDIZAJE
1106,67,HUMANIDADES D
1120,67,GEOMETRIA DESCRIPTIVA
611,67,FISICA A
711,67,QUIMICA A
7275,68,SEMINARIO DE ORIENTACION
7200,68,BIOLOGIA PARA INGENIEROS
72001,68,BIOLOGIA PARA INGENIEROS
7202,68,DIBUJO INDUSTRIAL
7253,68,QUIMICA AGROINDUSTRIAL
72531,68,QUIMICA AGROINDUSTRIAL
7254,68,HERRAMIENTAS DE COMPUTO
7276,68,INTRODUCCION A LA INGENIERIA AGROINDUSTRIAL
0,68,GEOMETRIA Y TRIGONOMETRIA
61,68,FISICA A
1006,68,TECNICAS DE COMUNICACION ORAL Y ESCRITA
611,68,FISICA A
5916,69,SEMINARIO DE ORIENTACION IMA
5900,69,PRINCIPIOS DE ADMINISTRACION
0,69,GEOMETRIA Y TRIGONOMETRIA
41,69,ALGEBRA A
51,69,CALCULO A
61,69,FISICA A
71,69,QUIMICA A
1005,69,METODOLOGIA DE LA INVESTIGACION
1120,69,GEOMETRIA DESCRIPTIVA
611,69,FISICA A
711,69,QUIMICA A
